Entry ID,EMDB Map,split
5MS1,EMD-3562,train
5ND1,EMD-3619,val
5OXE,EMD-3857,train
5UU5,EMD-8606,val
5XB1,EMD-6714,val
5YW7,EMD-6847,train
6AUI,EMD-7006,train
6C70,EMD-7352,train
6CAA,EMD-7441,train
6D83,EMD-7453,val
6E9E,EMD-9013,val
6EZJ,EMD-3999,train
6EZO,EMD-4162,train
6G9L,EMD-4366,val
6GSI,EMD-0056,train
6GYN,EMD-0093,train
6GYS,EMD-0096,val
6H3I,EMD-0133,val
6IIC,EMD-9673,train
6IWW,EMD-9743,val
6J0M,EMD-9764,train
6J6I,EMD-0688,val
6JBH,EMD-9790,train
6JBJ,EMD-9791,train
6JCW,EMD-9799,train
6JZO,EMD-9898,train
6LHS,EMD-0896,train
6M1D,EMD-30041,train
6MCB,EMD-9066,train
6N9U,EMD-0379,val
6NBD,EMD-0408,val
6OO7,EMD-20148,val
6PE2,EMD-20321,train
6PEV,EMD-20333,val
6PEW,EMD-20334,train
6PQR,EMD-20452,val
6PTJ,EMD-20471,val
6QV6,EMD-4645,train
6QVE,EMD-4650,train
6R7X,EMD-4746,val
6R81,EMD-4749,train
6RLA,EMD-4917,train
6RTC,EMD-4997,train
6S7P,EMD-10111,val
6SI7,EMD-10206,val
6SIC,EMD-10209,val
6T9J,EMD-10413,val
6TDX,EMD-10470,train
6TYI,EMD-20583,val
6U5O,EMD-20651,val
6URT,EMD-20862,val
6V03,EMD-20968,train
6V6D,EMD-21071,train
6VP9,EMD-21307,val
6VSJ,EMD-21377,val
6VXK,EMD-21442,val
6WAZ,EMD-21582,train
6WCA,EMD-21604,val
6WG3,EMD-21658,val
6WUC,EMD-21910,val
6XPD,EMD-22285,train
6Y9W,EMD-10739,train
6YBP,EMD-10770,train
6ZLT,EMD-11273,train
7BWR,EMD-30234,train
7BXU,EMD-30238,train
7CGP,EMD-9958,train
6GIY,EMD-0008,val
6GOV,EMD-0043,val
6GVE,EMD-0071,val
6GY6,EMD-0088,val
6HCY,EMD-0199,train
6HE4,EMD-0209,train
6HRA,EMD-0257,val
6HV8,EMD-0287,train
6NT5,EMD-0502,val
6O0H,EMD-0567,val
6O6R,EMD-0636,val
6KMF,EMD-0724,train
6KSW,EMD-0775,val
6L53,EMD-0836,val
6L7E,EMD-0843,train
6LN8,EMD-0927,val
6LTH,EMD-0968,val
4CI0,EMD-2513,val
5FN2,EMD-3237,val
6EZ8,EMD-3984,train
5LZP,EMD-4128,val
6F1V,EMD-4170,val
6G1K,EMD-4339,train
6QEL,EMD-4537,val
6RO4,EMD-4970,train
6ROW,EMD-4975,train
3J26,EMD-5495,train
3JCF,EMD-6551,train
5H3O,EMD-6656,val
5YX9,EMD-6856,train
5YYS,EMD-6859,train
5YZ0,EMD-6862,val
5Z1W,EMD-6877,val
6B5B,EMD-7055,train
6C9I,EMD-7436,val
6D6Q,EMD-7808,val
5TQW,EMD-8436,val
5WC0,EMD-8794,val
5WFE,EMD-8827,train
5WP6,EMD-8871,val
6DZ7,EMD-8931,train
6MLU,EMD-9146,train
6MRU,EMD-9213,train
6N23,EMD-9321,train
6NF6,EMD-9361,train
6NIL,EMD-9380,val
6OF4,EMD-20042,train
6P47,EMD-20245,train
6P6W,EMD-20265,val
6PYH,EMD-20524,train
6RWL,EMD-10041,val
6RWX,EMD-10045,val
6S2F,EMD-10089,train
6S3K,EMD-10092,train
6SJ7,EMD-10213,train
6SJB,EMD-10214,train
6SOF,EMD-10273,val
6SZA,EMD-10351,train
6T7S,EMD-10371,val
6TAQ,EMD-10424,val
6TG9,EMD-10495,val
6TQE,EMD-10549,train
6TSW,EMD-10567,train
6TTF,EMD-10575,val
6TY4,EMD-10616,val
6U62,EMD-20660,train
6U9E,EMD-20695,val
6UAN,EMD-20708,val
6UQG,EMD-20847,val
6UT4,EMD-20865,train
6UWM,EMD-20924,val
6V0C,EMD-20993,train
6V1I,EMD-21012,train
6V1Q,EMD-21015,val
6V9W,EMD-21128,train
6VTL,EMD-21381,train
6VWH,EMD-21416,train
6VXF,EMD-21436,train
6VXM,EMD-21444,val
6VYF,EMD-21458,val
6VZ1,EMD-21481,val
6W4O,EMD-21535,train
6W6V,EMD-21564,train
6X0L,EMD-21978,val
6X0V,EMD-21985,train
6XD3,EMD-22131,train
6XGQ,EMD-22182,val
6XJX,EMD-22216,val
6XMP,EMD-22260,train
6XT9,EMD-10617,val
6YGH,EMD-10800,train
6YGI,EMD-10803,val
6YMX,EMD-10847,val
6Z2Y,EMD-11052,train
6Z3Y,EMD-11066,val
6Z6G,EMD-11093,val
6ZIY,EMD-11231,val
6ZWM,EMD-11488,val
7BSS,EMD-30165,train
7BTO,EMD-30180,val
7CGN,EMD-30358,train
7JK2,EMD-22359,train
7JPK,EMD-22414,train
7JW1,EMD-22513,val
7KDT,EMD-22829,val
6ACF,EMD-9590,train
6AHR,EMD-9626,val
6JNA,EMD-9846,val
6K1H,EMD-9906,val
6M39,EMD-30071,val
